Hex,MIDI Event,ASCII,Detail,
,,,,
0xF0,SysEx Header,,,
0xF7,Universal Type,,,
0x00,deviceID,,,
0x46,SubID1,F,,
0x42,SubID2,B,,
0x30,data,0,C NoteIndex (Index starts with 0 User table starts with 1),
0xFF,,,R,
0x00,,,G,
0x00,,,B,
0x99,,,LUX# OFF=0 UL=51(0x33) LL=102(0x66) L=153(0x99) M=204(0xCC) H=255(0xFF),
0x31,,1,C#Db,
0xFF,,,R,
0xA5,,,G,
0x00,,,B,
0x99,,,LUX#,
0x32,,2,D,
0xFF,,,R,
0xD7,,,G,
0x00,,,B,
0x99,,,LUX#,
0x33,,3,D#Eb,
0xFF,,,R,
0xFF,,,G,
0x00,,,B,
0x99,,,LUX#,
0x34,,4,E,
0x9A,,,R,
0xCD,,,G,
0x32,,,B,
0x99,,,LUX#,
0x35,,5,F,
0x7F,,,R,
0xF0,,,G,
0x00,,,B,
0x99,,,LUX#,
0x36,,6,F#Gb,
0x00,,,R,
0xFF,,,G,
0x00,,,B,
0x99,,,LUX#,
0x37,,7,G,
0x98,,,R,
0xFB,,,G,
0x98,,,B,
0x99,,,LUX#,
0x38,,8,G#Ab,
0x00,,,R,
0xFF,,,G,
0xFF,,,B,
0x99,,,LUX#,
0x39,,9,A,
0x87,,,R,
0xCE,,,G,
0xFA,,,B,
0x99,,,LUX#,
0x41,,10 Hex A,A#Bb,
0x00,,,R,
0x00,,,G,
0xFF,,,B,
0x99,,,LUX#,
0x42,,11 Hex B,B,
0xFF,,,R,
0x00,,,G,
0xFF,,,B,
0x99,,,LUX#,
0xF7,SysEx Footer,,,
